surface,molecule,functional,E_ads_DFT,E_ads_ML,delta_eV,source_commit
Ag110,CH3,r2scan,-1.861,-1.77,+0.086,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,CO,pbe,-0.755,-0.57,+0.187,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,CO,pbe_d3,-0.944,-0.57,+0.376,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,CO,r2scan,-1.143,-0.57,+0.576,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,CO2,pbe,-0.424,-0.39,+0.032,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,CO2,r2scan,-0.802,-0.39,+0.409,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,DME,r2scan,-1.018,-0.31,+0.708,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,H2,pbe,-0.36,-0.27,+0.10,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,H2,pbe_d3,-0.43,-0.27,+0.16,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,H2,r2scan,-0.69,-0.27,+0.42,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,H2O,pbe,-0.649,-0.58,+0.065,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,H2O,pbe_d3,-0.832,-0.58,+0.248,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,H2O,r2scan,-1.070,-0.58,+0.486,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,H2S,pbe,-0.629,-0.50,+0.125,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,H2S,pbe_d3,-0.963,-0.50,+0.460,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,H2S,r2scan,-1.052,-0.50,+0.549,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,N2,pbe,-0.396,-0.05,+0.344,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,N2,pbe_d3,-0.455,-0.05,+0.404,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,N2,r2scan,-0.704,-0.05,+0.652,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,NH3,pbe,-0.831,-0.81,+0.023,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,NH3,pbe_d3,-1.015,-0.81,+0.208,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,NH3,r2scan,-1.240,-0.81,+0.432,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,NO,pbe,-1.344,-0.81,+0.530,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,NO,pbe_d3,-1.506,-0.81,+0.693,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,NO,r2scan,-2.09,-0.81,+1.28,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,O2,pbe,-0.97,-0.65,+0.33,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,SO2,pbe,-0.948,-0.68,+0.267,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,SO2,pbe_d3,-1.459,-0.68,+0.778,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,acetaldehyde,pbe,-0.511,-0.59,-0.077,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,acetaldehyde,pbe_d3,-0.785,-0.59,+0.197,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,acetaldehyde,r2scan,-0.956,-0.59,+0.368,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,acetic_acid,r2scan,-1.126,-0.68,+0.451,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,ethane,pbe,-0.414,-0.38,+0.034,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,ethane,pbe_d3,-0.603,-0.38,+0.223,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,ethane,r2scan,-0.76,-0.38,+0.38,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,ethanol,pbe,-1.30,-0.55,+0.75,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,ethanol,pbe_d3,-1.67,-0.55,+1.12,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,ethanol,r2scan,-2.19,-0.55,+1.64,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,ethene,pbe,-0.595,-0.41,+0.186,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,ethene,pbe_d3,-0.916,-0.41,+0.507,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,ethene,r2scan,-1.05,-0.41,+0.64,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,formaldehyde,pbe,-0.534,-0.41,+0.126,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,formaldehyde,pbe_d3,-0.759,-0.41,+0.351,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,formaldehyde,r2scan,-0.974,-0.41,+0.566,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,formate,pbe,-3.31,-2.33,+0.99,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,formate,pbe_d3,-3.65,-2.33,+1.32,11b026e8de754c84d5b784e3036e0063b5e3c391
