cluster,role,surface,molecule,functional,mode,status,E_TOTEN_eV,composition,directory,snapshot_id,source_kind,note
kestrel,complex,Ag100,H2O,beef_vdw,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2O/singlepoint/beef_vdw,087e26f3731bb50b2a589cd549ebbe29d06575a66988b0cb8ec9448b98a861cb,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2O/singlepoint/beef_vdw/OUTCAR.gz'
kestrel,complex,Ag100,H2O,r2scan,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2O/singlepoint/r2scan,5c506403f0cb45219df150190a18e9e9ace50b458472c70b2f63ca9f3f2ca116,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2O/singlepoint/r2scan/OUTCAR.gz'
kestrel,complex,Ag100,H2S,pbe,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2S/singlepoint/PBE,04ea0ffaa51ead4a0b9a5196b272c0e56a64ed7a2f6981e7cb68129cbee4d6b6,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2S/singlepoint/PBE/OUTCAR.gz'
kestrel,complex,Ag100,H2S,pbe_d3,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2S/singlepoint/PBE_D3,5e93e21ee10600991040b32608c37bd733123a965dae5a65322bc34c71abfd7a,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2S/singlepoint/PBE_D3/OUTCAR.gz'
kestrel,complex,Ag100,H2S,beef_vdw,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2S/singlepoint/beef_vdw,388952268ea12db866fdadf85ac7b4834f40bd8a47d105804e74a59b2720f4fc,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2S/singlepoint/beef_vdw/OUTCAR.gz'
kestrel,complex,Ag100,H2S,r2scan,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2S/singlepoint/r2scan,ec0a15c549cda833dfb32711181e051f4487a797bc5eaa9e89b1197af9eeb18a,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2S/singlepoint/r2scan/OUTCAR.gz'
kestrel,complex,Ag100,N2,pbe,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_N2/singlepoint/PBE,eee229022eaa0fa1631426fface13a758019157d751929e4894131485eddce26,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_N2/singlepoint/PBE/OUTCAR.gz'
kestrel,complex,Ag100,N2,pbe_d3,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_N2/singlepoint/PBE_D3,ccf50e51a5326a732277fd43cd1e0e358f4f5ca8648da60df3f5c75e4e36b055,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_N2/singlepoint/PBE_D3/OUTCAR.gz'
kestrel,complex,Ag100,N2,beef_vdw,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_N2/singlepoint/beef_vdw,c6d4dbc4ca36bda65145544dd6361acf651959d9d599c415494b2281094e4cba,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_N2/singlepoint/beef_vdw/OUTCAR.gz'
kestrel,complex,Ag100,N2,r2scan,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_N2/singlepoint/r2scan,bff85ad3a9147ed596d09c32aaac391b2f231978dfafa27e99fd571e44ac41a1,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_N2/singlepoint/r2scan/OUTCAR.gz'
kestrel,complex,Ag100,NH3,pbe,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_NH3/singlepoint/PBE,34eb51dd15650f23f356714129a25847b7711d87c1a6cc0ff69f902d3f173f35,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_NH3/singlepoint/PBE/OUTCAR.gz'
kestrel,complex,Ag100,NH3,pbe_d3,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_NH3/singlepoint/PBE_D3,479230e6bc881838e83ca7ab1c9d72e9aa3753c4157c11284283ce0ecf403e2f,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_NH3/singlepoint/PBE_D3/OUTCAR.gz'
kestrel,complex,Ag100,NH3,beef_vdw,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_NH3/singlepoint/beef_vdw,be10b970d59a23c8a36be29bf354b113c8c3f889ebe6fe06e55b0150ff85f9a2,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_NH3/singlepoint/beef_vdw/OUTCAR.gz'
kestrel,complex,Ag100,NH3,r2scan,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_NH3/singlepoint/r2scan,a6034f43157e074c0729dbe216899c681223622dd59ff0ab60ddc464b45811be,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_NH3/singlepoint/r2scan/OUTCAR.gz'
kestrel,complex,Ag100,NO,pbe,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_NO/singlepoint/PBE,07f85a3a3fc21f722d4b3546ab314dab2a2be3850ca069f9e7678d03379ba287,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_NO/singlepoint/PBE/OUTCAR.gz'
kestrel,complex,Ag100,NO,pbe_d3,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_NO/singlepoint/PBE_D3,f894f678145743b476bbec4cdaf66b38a4b5e25bd0768a286e410571fc4af9f3,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_NO/singlepoint/PBE_D3/OUTCAR.gz'
