surface,molecule,functional,status,note,E_ads_SPE,complex_directory,complex_NSW,slab_directory,molecule_directory,E_complex,E_slab_relaxed,E_molecule_relaxed,slab_NSW,molecule_NSW,matching_slab_references,matching_molecule_references,selected
Ag100,ethane,pbe,ok,NSW=0 complex; converged relaxed references; matching composition,-1.17939484,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_ethane/singlepoint/PBE,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100_n64/PBE,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/ethane/PBE,-200.70950978,-159.03042104,-40.4996939,1000,500,2,2,true
Ag100,ethane,pbe_d3,ok,NSW=0 complex; converged relaxed references; matching composition,-1.22423103,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_ethane/singlepoint/PBE_D3,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100_n64/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/ethane/PBE_D3,-222.64858007,-180.89827326,-40.52607578,1000,500,2,2,true
Ag100,ethane,r2scan,ok,NSW=0 complex; converged relaxed references; matching composition,-1.95437682,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_ethane/singlepoint/r2scan,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100_n64/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/ethane/r2scan,-1392.27643661,-1348.06638855,-42.25567124,1000,500,2,2,true
Ag100,ethanol,pbe,ok,NSW=0 complex; converged relaxed references; matching composition,-1.30839488,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_ethanol/singlepoint/PBE,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100_n64/PBE,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/ethanol/PBE,-207.21475693,-159.03042104,-46.87594101,1000,500,2,2,true
Ag100,ethanol,pbe_d3,ok,NSW=0 complex; converged relaxed references; matching composition,-1.43938220,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_ethanol/singlepoint/PBE_D3,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100_n64/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/ethanol/PBE_D3,-229.26271302,-180.89827326,-46.92505756,1000,500,2,2,true
Ag100,ethanol,r2scan,ok,NSW=0 complex; converged relaxed references; matching composition,-2.17587693,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_ethanol/singlepoint/r2scan,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100_n64/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/ethanol/r2scan,-1399.87769915,-1348.06638855,-49.63543367,1000,500,2,2,true
Ag100,ethene,pbe,ok,NSW=0 complex; converged relaxed references; matching composition,-1.17974689,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_ethene/singlepoint/PBE,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100_n64/PBE,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/ethene/PBE,-192.18084139,-159.03042104,-31.97067346,1000,500,2,3,true
Ag100,ethene,pbe_d3,ok,NSW=0 complex; converged relaxed references; matching composition,-1.30611179,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_ethene/singlepoint/PBE_D3,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100_n64/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/ethene/PBE_D3,-214.18707943,-180.89827326,-31.98269438,1000,500,2,3,true
Ag100,ethene,r2scan,ok,NSW=0 complex; converged relaxed references; matching composition,-2.03032189,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_ethene/singlepoint/r2scan,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100_n64/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/ethene/r2scan,-1383.64525658,-1348.06638855,-33.54854614,1000,500,2,3,true
Ag100,formaldehyde,pbe,ok,NSW=0 complex; converged relaxed references; matching composition,-0.70405927,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formaldehyde/singlepoint/PBE,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/formaldehyde/PBE,-112.95837234,-90.12407184,-22.13024123,1000,500,1,2,true
Ag100,formaldehyde,pbe_d3,ok,NSW=0 complex; converged relaxed references; matching composition,-0.82033294,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formaldehyde/singlepoint/PBE_D3,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/formaldehyde/PBE_D3,-125.35620503,-102.4003605,-22.13551159,1000,500,1,2,true
Ag100,formaldehyde,r2scan,ok,NSW=0 complex; converged relaxed references; matching composition,-1.18194194,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formaldehyde/singlepoint/r2scan,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/formaldehyde/r2scan,-784.1134586,-759.06403021,-23.86748645,1000,500,1,2,true
