surface,molecule,functional,system,site,retry,status,note,E_ads_SPE,complex_directory,complex_NSW,slab_directory,molecule_directory,E_complex,E_slab_relaxed,E_molecule_relaxed,slab_NSW,molecule_NSW,complex_status,poscar_sha256,selected
Cu100,H2O,r2scan,H2O_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.15442478,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2O_Cu100/singlepoint/r2scan,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Cu100/r2scan,/pscratch/sd/j/jcho5/VASP/vasp_mol/H2O/r2scan,-685.80333819,-670.31649401,-15.3324194,1000,500,converged,81d2d101e602b472102cc48080ce2b478c28d7b797b75c992f210a3578fd7a32,true
Cu100,H2S,beef_vdw,H2S_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.3407799,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2S_Cu100/singlepoint/beef_vdw,0,/pscratch/sd/j/jcho5/VASP/completion_runs/site_gapfill_20260914/slab/C2H4_Cu100/beef_vdw,/pscratch/sd/j/jcho5/VASP/vasp_mol/H2S/beef_vdw,-20.53127875,-10.5763226,-9.61417625,1000,500,converged,f73facf97ad581c1efa9f6aa109fd746106dd753c52a5b05b95d24268680a9aa,true
Cu100,H2S,pbe,H2S_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.24310706,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2S_Cu100/singlepoint/PBE,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Cu100/PBE,/pscratch/sd/j/jcho5/VASP/vasp_mol/H2S/PBE,-231.20902339,-219.76682164,-11.19909469,1000,500,converged,f73facf97ad581c1efa9f6aa109fd746106dd753c52a5b05b95d24268680a9aa,true
Cu100,H2S,pbe_d3,H2S_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.58129743,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2S_Cu100/singlepoint/PBE_D3,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Cu100/PBE_D3,/pscratch/sd/j/jcho5/VASP/vasp_mol/H2S/PBE_D3,-252.62159647,-240.84053253,-11.19976651,1000,500,converged,f73facf97ad581c1efa9f6aa109fd746106dd753c52a5b05b95d24268680a9aa,true
Cu100,H2S,r2scan,H2S_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.11161561,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2S_Cu100/singlepoint/r2scan,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Cu100/r2scan,/pscratch/sd/j/jcho5/VASP/vasp_mol/H2S/r2scan,-685.65426072,-670.31649401,-15.2261511,1000,500,converged,f73facf97ad581c1efa9f6aa109fd746106dd753c52a5b05b95d24268680a9aa,true
Cu100,acetaldehyde,pbe,CH3CHO_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.1730497,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CHO_Cu100/singlepoint/PBE,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Cu100/PBE,/pscratch/sd/j/jcho5/VASP/vasp_mol/CH3CHO/PBE,-259.04928721,-219.76682164,-39.10941587,1000,500,converged,b8edea705a775a9de122010dcb9cca8553fcad83276bf9158d73bf19bb38dd9b,true
Cu100,acetaldehyde,pbe_d3,CH3CHO_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.4006521,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CHO_Cu100/singlepoint/PBE_D3,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Cu100/PBE_D3,/pscratch/sd/j/jcho5/VASP/vasp_mol/CH3CHO/PBE_D3,-280.37944963,-240.84053253,-39.138265,1000,500,converged,b8edea705a775a9de122010dcb9cca8553fcad83276bf9158d73bf19bb38dd9b,true
Cu100,acetaldehyde,r2scan,CH3CHO_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.15375918,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CHO_Cu100/singlepoint/r2scan,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Cu100/r2scan,/pscratch/sd/j/jcho5/VASP/vasp_mol/CH3CHO/r2scan,-712.14503416,-670.31649401,-41.67478097,1000,500,converged,b8edea705a775a9de122010dcb9cca8553fcad83276bf9158d73bf19bb38dd9b,true
Cu100,acetic_acid,beef_vdw,CH3COOH_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.46328224,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3COOH_Cu100/singlepoint/beef_vdw,0,/pscratch/sd/j/jcho5/VASP/completion_runs/site_gapfill_20260914/slab/C2H4_Cu100/beef_vdw,/pscratch/sd/j/jcho5/VASP/vasp_mol/CH3COOH/beef_vdw,-51.61794194,-10.5763226,-40.5783371,1000,500,converged,e91f8be70859b4b811bdd6d8d830fc4592648b4f3bb507d28918911d410c8129,true
Cu100,acetic_acid,r2scan,CH3COOH_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.29733999,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3COOH_Cu100/singlepoint/r2scan,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Cu100/r2scan,/pscratch/sd/j/jcho5/VASP/vasp_mol/CH3COOH/r2scan,-720.96433734,-670.31649401,-50.35050334,1000,500,converged,e91f8be70859b4b811bdd6d8d830fc4592648b4f3bb507d28918911d410c8129,true
