surface,molecule,functional,mode,previous_eV,current_eV,change,current_status
Ag110,H2S,beef_vdw,relaxed,-16.869,,withheld_unverified_or_incompatible,potential_mismatch
Ag110,N2,pbe,relaxed,-0.396,,withheld_unverified_or_incompatible,refs unverified
Ag110,N2,pbe,SPE,-0.395,,withheld_unverified_or_incompatible,potential mismatch
Ag110,N2,pbe_d3,relaxed,-0.455,,withheld_unverified_or_incompatible,refs unverified
Ag110,N2,pbe_d3,SPE,-0.45,,withheld_unverified_or_incompatible,potential mismatch
Ag110,N2,r2scan,relaxed,-0.704,,withheld_unverified_or_incompatible,refs unverified
Ag110,N2,r2scan,SPE,-0.672,,withheld_unverified_or_incompatible,potential mismatch
Ag110,N2,beef_vdw,relaxed,-16.594,,withheld_unverified_or_incompatible,potential_mismatch
Ag110,NH3,pbe,relaxed,-0.831,,withheld_unverified_or_incompatible,refs unverified
Ag110,NH3,pbe,SPE,-0.827,,withheld_unverified_or_incompatible,potential mismatch
Ag110,NH3,pbe_d3,relaxed,-1.015,,withheld_unverified_or_incompatible,refs unverified
Ag110,NH3,pbe_d3,SPE,-0.999,,withheld_unverified_or_incompatible,potential mismatch
Ag110,NH3,r2scan,relaxed,-1.24,,withheld_unverified_or_incompatible,refs unverified
Ag110,NH3,r2scan,SPE,-1.202,,withheld_unverified_or_incompatible,potential mismatch
Ag110,NH3,beef_vdw,relaxed,-17.01,,withheld_unverified_or_incompatible,potential_mismatch
Ag110,NO,pbe,relaxed,-1.344,,withheld_unverified_or_incompatible,refs unverified
Ag110,NO,pbe,SPE,-1.22,,withheld_unverified_or_incompatible,potential mismatch
Ag110,NO,pbe_d3,relaxed,-1.506,,withheld_unverified_or_incompatible,refs unverified
Ag110,NO,pbe_d3,SPE,-1.446,,withheld_unverified_or_incompatible,potential mismatch
Ag110,NO,r2scan,relaxed,-2.09,,withheld_unverified_or_incompatible,refs unverified
Ag110,O2,pbe,relaxed,-0.97,,withheld_unverified_or_incompatible,refs unverified
Ag110,SO2,pbe,relaxed,-0.948,,withheld_unverified_or_incompatible,refs unverified
Ag110,SO2,pbe,SPE,-0.924,,withheld_unverified_or_incompatible,potential mismatch
Ag110,SO2,pbe_d3,relaxed,-1.459,,withheld_unverified_or_incompatible,refs unverified
Ag110,SO2,pbe_d3,SPE,-1.386,,withheld_unverified_or_incompatible,potential mismatch
Ag110,SO2,r2scan,relaxed,-1.723,,withheld_unverified_or_incompatible,potential_mismatch
Ag110,SO2,r2scan,SPE,-1.599,,withheld_unverified_or_incompatible,potential mismatch
Ag110,SO2,beef_vdw,relaxed,-17.204,,withheld_unverified_or_incompatible,potential_mismatch
Ag110,acetaldehyde,pbe,relaxed,-0.511,,withheld_unverified_or_incompatible,refs unverified
Ag110,acetaldehyde,pbe,SPE,-0.476,,withheld_unverified_or_incompatible,potential mismatch
Ag110,acetaldehyde,pbe_d3,relaxed,-0.785,,withheld_unverified_or_incompatible,refs unverified
Ag110,acetaldehyde,pbe_d3,SPE,-0.742,,withheld_unverified_or_incompatible,potential mismatch
Ag110,acetaldehyde,r2scan,relaxed,-0.956,,withheld_unverified_or_incompatible,refs unverified
Ag110,acetaldehyde,r2scan,SPE,-0.9,,withheld_unverified_or_incompatible,potential mismatch
Ag110,acetaldehyde,beef_vdw,relaxed,-16.876,,withheld_unverified_or_incompatible,potential_mismatch
Ag110,acetaldehyde,beef_vdw,SPE,-16.755,,withheld_unverified_or_incompatible,potential mismatch
Ag110,acetic_acid,r2scan,relaxed,-1.126,,withheld_unverified_or_incompatible,refs unverified
Ag110,acetic_acid,r2scan,SPE,-1.083,,withheld_unverified_or_incompatible,potential mismatch
Ag110,acetic_acid,beef_vdw,relaxed,-16.998,,withheld_unverified_or_incompatible,potential_mismatch
Ag110,acetic_acid,beef_vdw,SPE,-16.925,,withheld_unverified_or_incompatible,potential mismatch
Ag110,ethane,pbe,relaxed,-0.414,,withheld_unverified_or_incompatible,refs unverified
Ag110,ethane,pbe,SPE,-0.411,,withheld_unverified_or_incompatible,potential mismatch
Ag110,ethane,pbe_d3,relaxed,-0.603,,withheld_unverified_or_incompatible,refs unverified
Ag110,ethane,pbe_d3,SPE,-0.599,,withheld_unverified_or_incompatible,potential mismatch
Ag110,ethane,r2scan,relaxed,-0.76,,withheld_unverified_or_incompatible,refs unverified
Ag110,ethane,r2scan,SPE,-0.732,,withheld_unverified_or_incompatible,potential mismatch
Ag110,ethane,beef_vdw,relaxed,-16.751,,withheld_unverified_or_incompatible,potential_mismatch
Ag110,ethane,beef_vdw,SPE,-16.671,,withheld_unverified_or_incompatible,potential mismatch
Ag110,ethanol,pbe,relaxed,-1.3,-0.231,updated,available
Ag110,ethanol,pbe,SPE,-0.225,-0.224,updated,available
Ag110,ethanol,pbe_d3,relaxed,-1.67,-0.577,updated,available
Ag110,ethanol,pbe_d3,SPE,-0.474,-0.467,updated,available
Ag110,ethanol,r2scan,relaxed,-2.19,,withheld_unverified_or_incompatible,refs unverified
Ag110,ethanol,r2scan,SPE,-0.24,,withheld_unverified_or_incompatible,refs unverified
Ag110,ethanol,beef_vdw,relaxed,-44.444,-0.494,updated,available
Ag110,ethanol,beef_vdw,SPE,-0.372,-0.367,updated,available
Ag110,ethene,pbe,relaxed,-0.595,,withheld_unverified_or_incompatible,refs unverified
Ag110,ethene,pbe,SPE,-0.142,,withheld_unverified_or_incompatible,potential mismatch
Ag110,ethene,pbe_d3,relaxed,-0.916,,withheld_unverified_or_incompatible,refs unverified
Ag110,ethene,pbe_d3,SPE,-0.411,,withheld_unverified_or_incompatible,potential mismatch
Ag110,ethene,r2scan,relaxed,-1.05,,withheld_unverified_or_incompatible,refs unverified
Ag110,ethene,r2scan,SPE,-0.179,,withheld_unverified_or_incompatible,potential mismatch
Ag110,ethene,beef_vdw,relaxed,-16.886,,withheld_unverified_or_incompatible,potential_mismatch
Ag110,ethene,beef_vdw,SPE,-0.156,,withheld_unverified_or_incompatible,potential mismatch
Ag110,formaldehyde,pbe,relaxed,-0.534,,withheld_unverified_or_incompatible,refs unverified
Ag110,formaldehyde,pbe,SPE,-0.508,,withheld_unverified_or_incompatible,potential mismatch
Ag110,formaldehyde,pbe_d3,relaxed,-0.759,,withheld_unverified_or_incompatible,refs unverified
