name,surface,molecule,n_metal,n_mol,old_energy,old_functional,new_energy,functional,mode,status,complex_snapshot_id
Au100_D-fructofuranose,Au100,D-fructofuranose,64,20,0.627,r2scan,,,,no validated size-matched selection,
Au100_D-xylopyranose,Au100,D-xylopyranose,64,20,0.404,r2scan,,,,no validated size-matched selection,
Au100_DME,Au100,DME,64,9,0.593,r2scan,,,,no validated size-matched selection,
Au100_DMSO,Au100,DMSO,64,10,0.295,r2scan,,,,no validated size-matched selection,
Au100_H2,Au100,H2,64,2,0.287,r2scan,,,,no validated size-matched selection,
Au100_H2O,Au100,H2O,64,3,0.146,r2scan,,,,no validated size-matched selection,
Au100_H2S,Au100,H2S,64,3,0.071,r2scan,,,,no validated size-matched selection,
Au100_N2,Au100,N2,64,2,0.257,r2scan,,,,no validated size-matched selection,
Au100_NH3,Au100,NH3,64,4,-0.304,r2scan,,,,no validated size-matched selection,
Au100_NO,Au100,NO,64,2,-0.816,r2scan,,,,no validated size-matched selection,
Au100_NO2,Au100,NO2,64,3,-3.677,r2scan,,,,no validated size-matched selection,
Au100_SO2,Au100,SO2,64,3,-0.063,r2scan,,,,no validated size-matched selection,
Au100_THF,Au100,THF,64,13,0.456,r2scan,,,,no validated size-matched selection,
Au100_acetal,Au100,acetal,64,22,0.886,r2scan,,,,no validated size-matched selection,
Au100_acetaldehyde,Au100,acetaldehyde,64,7,0.56,r2scan,,,,no validated size-matched selection,
Au100_acetic_acid,Au100,acetic_acid,64,8,-0.034,r2scan,,,,no validated size-matched selection,
Au100_acetone,Au100,acetone,64,10,0.616,r2scan,,,,no validated size-matched selection,
Au100_acetophenone,Au100,acetophenone,64,17,0.533,r2scan,,,,no validated size-matched selection,
Au100_alpha-D-glucopyranose,Au100,alpha-D-glucopyranose,64,24,-0.666,r2scan,,,,no validated size-matched selection,
Au100_angelica_lactone,Au100,angelica_lactone,64,13,0.491,r2scan,,,,no validated size-matched selection,
Au100_aniline,Au100,aniline,64,14,0.45,r2scan,,,,no validated size-matched selection,
Au100_benzaldehyde,Au100,benzaldehyde,64,14,0.485,r2scan,,,,no validated size-matched selection,
Au100_benzene,Au100,benzene,64,12,0.462,r2scan,,,,no validated size-matched selection,
Au100_butadiene,Au100,butadiene,64,10,0.349,r2scan,,,,no validated size-matched selection,
Au100_butanal,Au100,butanal,64,13,0.459,r2scan,,,,no validated size-matched selection,
Au100_butane,Au100,butane,64,14,0.456,r2scan,,,,no validated size-matched selection,
Au100_butyric_acid,Au100,butyric_acid,64,14,0.687,r2scan,,,,no validated size-matched selection,
Au100_caproic_acid,Au100,caproic_acid,64,20,0.443,r2scan,,,,no validated size-matched selection,
Au100_cyclobutanone,Au100,cyclobutanone,64,11,0.614,r2scan,,,,no validated size-matched selection,
Au100_cyclohexanone,Au100,cyclohexanone,64,17,0.468,r2scan,,,,no validated size-matched selection,
Au100_cyclopentanone,Au100,cyclopentanone,64,14,0.669,r2scan,,,,no validated size-matched selection,
Au100_diethyl_ether,Au100,diethyl_ether,64,15,0.507,r2scan,,,,no validated size-matched selection,
Au100_dimethyl_succinate,Au100,dimethyl_succinate,64,17,0.86,r2scan,,,,no validated size-matched selection,
Au100_ethane,Au100,ethane,64,8,0.628,r2scan,,,,no validated size-matched selection,
Au100_ethanol,Au100,ethanol,64,9,0.446,r2scan,,,,no validated size-matched selection,
Au100_ethene,Au100,ethene,64,6,0.45,r2scan,,,,no validated size-matched selection,
Au100_ethyl_acetate,Au100,ethyl_acetate,64,14,0.455,r2scan,,,,no validated size-matched selection,
Au100_ethylene,Au100,ethylene,64,6,0.45,r2scan,,,,no validated size-matched selection,
Au100_ethylene_glycol,Au100,ethylene_glycol,64,10,0.374,r2scan,,,,no validated size-matched selection,
Au100_eugenol,Au100,eugenol,64,24,0.722,r2scan,,,,no validated size-matched selection,
Au100_formaldehyde,Au100,formaldehyde,64,4,0.488,r2scan,,,,no validated size-matched selection,
Au100_formate,Au100,formate,64,4,-2.565,r2scan,,,,no validated size-matched selection,
