surface,molecule,functional,ML,SPE,relaxed,residual,relaxation_gap,total,provenance,complex_directory
Cu100,DME,pbe,-0.27,-0.13396879,-0.15,-0.13603121,0.01603120999999999,-0.12000000000000002,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Cu100/singlepoint/PBE
Cu100,DME,pbe_d3,-0.27,-0.43964251,-0.651,0.16964250999999997,0.21135749000000004,0.381,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Cu100/singlepoint/PBE_D3
Cu100,H2O,pbe,-0.57,-0.22711798,-0.246,-0.34288201999999995,0.01888202,-0.32399999999999995,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2O_Cu100/singlepoint/PBE
Cu100,H2O,pbe_d3,-0.57,-0.39509325,-0.476,-0.17490674999999994,0.08090674999999997,-0.09399999999999997,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2O_Cu100/singlepoint/PBE_D3
Cu100,H2S,pbe,-0.47,-0.24310706,-0.271,-0.22689293999999996,0.027892940000000005,-0.19899999999999995,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2S_Cu100/singlepoint/PBE
Cu100,H2S,pbe_d3,-0.47,-0.58129743,-0.719,0.11129743000000003,0.13770256999999997,0.249,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2S_Cu100/singlepoint/PBE_D3
Cu100,acetaldehyde,pbe,-0.6,-0.1730497,-0.209,-0.4269503,0.03595029999999999,-0.391,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CHO_Cu100/singlepoint/PBE
Cu100,acetaldehyde,pbe_d3,-0.6,-0.4006521,-0.487,-0.19934789999999997,0.08634789999999998,-0.11299999999999999,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CHO_Cu100/singlepoint/PBE_D3
Cu100,ethane,pbe,-0.32,-0.00080616,-0.014,-0.31919384,0.01319384,-0.306,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Cu100/singlepoint/PBE
Cu100,ethane,pbe_d3,-0.32,-0.2788122,-0.367,-0.0411878,0.08818779999999998,0.046999999999999986,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Cu100/singlepoint/PBE_D3
Cu100,ethanol,pbe,-0.5,-0.2211589,-0.237,-0.2788411,0.015841099999999997,-0.263,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CH2OH_Cu100/singlepoint/PBE
Cu100,ethanol,pbe_d3,-0.5,-0.60584994,-0.728,0.10584994000000003,0.12215005999999995,0.22799999999999998,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CH2OH_Cu100/singlepoint/PBE_D3
Cu100,ethene,pbe,-0.47,-0.09267128,-0.172,-0.37732871999999995,0.07932871999999999,-0.298,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Cu100/singlepoint/PBE
Cu100,ethene,pbe_d3,-0.47,-0.53564591,-0.736,0.06564590999999997,0.20035409000000004,0.266,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Cu100/singlepoint/PBE_D3
Cu100,formaldehyde,pbe,-0.44,-0.1252045,-0.168,-0.3147955,0.042795500000000014,-0.272,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2CO_Cu100/singlepoint/PBE
Cu100,formaldehyde,pbe_d3,-0.44,-0.3317577,-0.434,-0.10824230000000001,0.10224230000000001,-0.006000000000000005,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2CO_Cu100/singlepoint/PBE_D3
Cu100,methane,pbe,-0.42,-0.00246394,-0.016,-0.41753606,0.01353606,-0.40399999999999997,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH4_Cu100/singlepoint/PBE
Cu100,methane,pbe_d3,-0.42,-0.1631897,-0.21,-0.2568103,0.0468103,-0.21,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH4_Cu100/singlepoint/PBE_D3
Cu100,methane,r2scan,-0.42,0.14656638,-0.033,-0.56656638,0.17956638,-0.387,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH4_Cu100/singlepoint/r2scan
Cu100,methanol,pbe,-0.47,-0.2298652,-0.247,-0.24013479999999998,0.017134800000000006,-0.22299999999999998,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OH_Cu100/singlepoint/PBE
Cu100,methanol,pbe_d3,-0.47,-0.47944267,-0.591,0.009442670000000042,0.11155732999999995,0.121,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OH_Cu100/singlepoint/PBE_D3
Ir100,CH3,beef_vdw,-2.89,-2.10056053,-2.26,-0.78943947,0.1594394699999997,-0.6300000000000003,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Ir100/singlepoint/beef_vdw
Ir100,CH3,pbe,-2.89,-2.08026576,-2.181,-0.80973424,0.10073423999999997,-0.7090000000000001,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Ir100/singlepoint/PBE
Ir100,CH3,pbe_d3,-2.89,-2.36483493,-2.456,-0.5251650700000003,0.09116507000000018,-0.43400000000000016,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Ir100/singlepoint/PBE_D3
