surface,molecule,functional,mode,old_E_ads,new_E_ads,reason
Pt110,methane,pbe_d3,SPE,,-0.51433293,Perlmutter first
Pt110,methane,r2scan,SPE,,-0.40036656,Perlmutter first
Pt110,methane,beef_vdw,SPE,,-22.71278038,Perlmutter energy review retained; no unflagged Kestrel alternative
Pt111,CO2,pbe,relaxed,-0.875,-0.03257320,Perlmutter first
Pt111,CO2,beef_vdw,relaxed,-60.425,-0.29372964,Perlmutter first
Pt111,CO2,beef_vdw,SPE,-0.216,-0.21518344,Perlmutter first
Pt111,ethanol,beef_vdw,SPE,-0.012,-34.32090427,Perlmutter energy review retained; Kestrel structure equivalence unverified
Pt111,formic_acid,r2scan,SPE,,-1.09668810,Perlmutter first
Rh111,CH3,r2scan,SPE,,-2.30103040,Perlmutter first
Rh111,CO,r2scan,SPE,,-2.64239190,Perlmutter first
Rh111,CO2,r2scan,SPE,,-0.67753122,Perlmutter first
Rh111,H2O,r2scan,SPE,,-1.07229594,Perlmutter first
Rh111,H2S,r2scan,SPE,,-1.47591523,Perlmutter first
Rh111,N2,r2scan,SPE,,-1.19951448,Perlmutter first
Rh111,NH3,r2scan,SPE,,-1.62707791,Perlmutter first
Rh111,SO2,r2scan,SPE,,-2.51944542,Perlmutter first
Rh111,formaldehyde,r2scan,SPE,,-1.49492051,Perlmutter first
Rh111,formic_acid,r2scan,SPE,,-1.16866280,Perlmutter first
Rh111,methane,r2scan,SPE,,-0.65876229,Perlmutter first
