surface,molecule,functional,mode,old_E_ads,new_E_ads,reason
Rh111,N2,pbe_d3,SPE,,-0.39627387,Perlmutter first
Rh111,NH3,pbe,SPE,,-0.80510710,Perlmutter first
Rh111,NH3,pbe_d3,SPE,,-0.82514409,Perlmutter first
Rh111,NO,pbe,SPE,,-2.72754765,Perlmutter first
Rh111,NO,pbe_d3,SPE,,-2.68769339,Perlmutter first
Rh111,SO2,pbe,SPE,,-1.39406726,Perlmutter first
Rh111,SO2,pbe_d3,SPE,,-1.63535820,Perlmutter first
Rh111,formic_acid,pbe,SPE,,-0.28644599,Perlmutter first
Rh111,formic_acid,pbe_d3,SPE,,-0.37988680,Perlmutter first
Ag100,CH3,r2scan,SPE,-2.145,-2.23863537,Perlmutter first
Ag100,CO,pbe,SPE,-0.961,-0.95876764,Perlmutter first
Ag100,CO,pbe_d3,SPE,-1.090,-1.08702564,Perlmutter first
Ag100,CO,r2scan,SPE,-1.400,-1.39949615,Perlmutter first
Ag100,CO,beef_vdw,SPE,,-25.04349134,Perlmutter energy review retained; no unflagged Kestrel alternative
Ag100,DME,pbe,relaxed,,-0.73757110,Perlmutter first
Ag100,DME,pbe,SPE,,-0.72949841,Perlmutter first
Ag100,DME,pbe_d3,relaxed,,-1.11847341,Perlmutter first
Ag100,DME,pbe_d3,SPE,,-0.95664831,Perlmutter first
Ag100,H2,beef_vdw,SPE,,-24.77077332,Kestrel: no usable Perlmutter binding-energy candidate
Ag100,H2O,beef_vdw,SPE,,-25.04150540,Perlmutter energy review retained; no unflagged Kestrel alternative
Ag100,H2S,beef_vdw,SPE,,-25.10295488,Perlmutter energy review retained; no unflagged Kestrel alternative
Ag100,N2,beef_vdw,SPE,,-24.88135877,Kestrel: no usable Perlmutter binding-energy candidate
Ag100,NH3,beef_vdw,SPE,,-25.29333196,Perlmutter energy review retained; no unflagged Kestrel alternative
Ag100,NO,beef_vdw,SPE,,-32.39137281,Perlmutter energy review retained; no unflagged Kestrel alternative
Ag100,SO2,pbe,SPE,-1.281,-1.28013458,Perlmutter first
Ag100,SO2,beef_vdw,SPE,,-25.64173573,Perlmutter energy review retained; no unflagged Kestrel alternative
Ag100,ethene,pbe,SPE,-0.021,-0.66870781,Perlmutter first
Ag100,ethene,pbe_d3,SPE,-0.103,-0.89184729,Perlmutter first
Ag100,ethene,r2scan,SPE,0.060,-1.15969924,Perlmutter first
Ag100,ethene,beef_vdw,SPE,-0.182,-25.05937440,Perlmutter energy review retained; Kestrel structure equivalence unverified
Ag100,formaldehyde,beef_vdw,SPE,,-25.03843649,Perlmutter energy review retained; no unflagged Kestrel alternative
Ag100,formate,beef_vdw,SPE,,-28.07714333,Kestrel: no usable Perlmutter binding-energy candidate
Ag100,formic_acid,pbe_d3,SPE,-1.026,-1.02526841,Perlmutter first
Ag100,formic_acid,beef_vdw,SPE,,-25.16298745,Perlmutter energy review retained; no unflagged Kestrel alternative
Ag100,isopropanol,beef_vdw,SPE,,-25.28463149,Kestrel: no usable Perlmutter binding-energy candidate
Ag100,propane,beef_vdw,SPE,,-25.12577206,Kestrel: no usable Perlmutter binding-energy candidate
Ag100,propanol,beef_vdw,SPE,,-25.32220308,Kestrel: no usable Perlmutter binding-energy candidate
Ag100,propene,beef_vdw,SPE,,-25.15624463,Kestrel: no usable Perlmutter binding-energy candidate
Ag110,CO,r2scan,SPE,-1.072,-1.03939748,Perlmutter first
Ag110,CO,beef_vdw,SPE,,-16.72114183,Perlmutter energy review retained; no unflagged Kestrel alternative
