name,surface,molecule,category,min_dist,pair,pair_labels,min_dist_heavy,pair_heavy,n_metal,n_mol,mol_elems,png
Ag111_H2S,Ag111,H2S,reasonable,2.948,Ag-H,Ag35...H2,3.449,Ag-S,36,3,HS,Ag111_H2S.png
Ag111_HCO,Ag111,HCO,borderline,3.031,Ag-O,Ag32...O1,3.031,Ag-O,36,4,CHO,Ag111_HCO.png
Ag111_N2,Ag111,N2,detached,4.522,Ag-N,Ag31...N2,4.522,Ag-N,36,2,N,Ag111_N2.png
Ag111_NH3,Ag111,NH3,reasonable,2.539,Ag-N,Ag35...N1,2.539,Ag-N,36,4,HN,Ag111_NH3.png
Ag111_NO,Ag111,NO,reasonable,2.342,Ag-N,Ag31...N1,2.342,Ag-N,36,2,NO,Ag111_NO.png
Ag111_NO2,Ag111,NO2,reasonable,2.348,Ag-O,Ag35...O1,2.348,Ag-O,36,3,NO,Ag111_NO2.png
Ag111_O2,Ag111,O2,borderline,3.292,Ag-O,Ag34...O2,3.292,Ag-O,36,2,O,Ag111_O2.png
Ag111_SO2,Ag111,SO2,reasonable,2.902,Ag-O,Ag32...O1,2.902,Ag-O,36,3,OS,Ag111_SO2.png
Ag111_THF,Ag111,THF,detached,3.785,Ag-O,Ag35...O1,3.785,Ag-O,36,13,CHO,Ag111_THF.png
Ag111_acetal,Ag111,acetal,borderline,3.23,Ag-H,Ag31...H2,4.294,Ag-C,36,22,CHO,Ag111_acetal.png
Ag111_acetaldehyde,Ag111,acetaldehyde,reasonable,2.854,Ag-O,Ag31...O1,2.854,Ag-O,36,7,CHO,Ag111_acetaldehyde.png
Ag111_acetic_acid,Ag111,acetic_acid,reasonable,2.66,Ag-O,Ag35...O1,2.66,Ag-O,36,8,CHO,Ag111_acetic_acid.png
Ag111_acetone,Ag111,acetone,reasonable,2.627,Ag-O,Ag29...O1,2.627,Ag-O,36,10,CHO,Ag111_acetone.png
Ag111_acetophenone,Ag111,acetophenone,reasonable,2.936,Ag-O,Ag28...O1,2.936,Ag-O,36,17,CHO,Ag111_acetophenone.png
Ag111_alpha-D-glucopyranose,Ag111,alpha-D-glucopyranose,borderline,3.402,Ag-H,Ag35...H4,3.844,Ag-O,36,24,CHO,Ag111_alpha-D-glucopyranose.png
Ag111_angelica_lactone,Ag111,angelica_lactone,detached,3.892,Ag-O,Ag29...O1,3.892,Ag-O,36,13,CHO,Ag111_angelica_lactone.png
