functional,system,surface,molecule,source_dir,E_slab_mol,E_slab,E_mol,E_ads,status,note,convergence,publishable,complex_outcar,slab_outcar,molecule_outcar,E_ads_raw,complex_potentials,complex_composition,slab_potentials,slab_composition,molecule_potentials,molecule_composition
pbe,C2H4_Ir110,Ir110,C2H4,dft_jobs,-219.56715357,-185.79278571,-31.970644,-1.8037238599999839,ok,,complex: converged; slab: converged; molecule: converged,true,dft_jobs/C2H4_Ir110/PBE/OUTCAR,vasp_slab/Ir110/PBE/OUTCAR,vasp_mol/C2H4/PBE/OUTCAR,-1.8037238599999839,"{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001"", ""Ir"": ""PAW_PBE Ir 06Sep2000""}","{""C"": 2, ""H"": 4, ""Ir"": 24}","{""Ir"": ""PAW_PBE Ir 06Sep2000""}","{""Ir"": 24}","{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""C"": 2, ""H"": 4}"
pbe,C2H4_Ir111,Ir111,C2H4,dft_jobs,-571.07619916,-538.3119429,-31.970644,-0.7936122600000246,ok,,complex: converged; slab: converged; molecule: converged,true,dft_jobs/C2H4_Ir111/PBE/OUTCAR,vasp_slab/Ir111/PBE/OUTCAR,vasp_mol/C2H4/PBE/OUTCAR,-0.7936122600000246,"{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001"", ""Ir"": ""PAW_PBE Ir 06Sep2000""}","{""C"": 2, ""H"": 4, ""Ir"": 64}","{""Ir"": ""PAW_PBE Ir 06Sep2000""}","{""Ir"": 64}","{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""C"": 2, ""H"": 4}"
pbe,C2H4_Pd100,Pd100,C2H4,dft_jobs,-208.3253476,-175.30179252,-31.970644,-1.0529110799999941,ok,,complex: converged; slab: converged; molecule: converged,true,dft_jobs/C2H4_Pd100/PBE/OUTCAR,vasp_slab/Pd100/PBE/OUTCAR,vasp_mol/C2H4/PBE/OUTCAR,-1.0529110799999941,"{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001"", ""Pd"": ""PAW_PBE Pd 04Jan2005""}","{""C"": 2, ""H"": 4, ""Pd"": 36}","{""Pd"": ""PAW_PBE Pd_pv 28Jan2005""}","{""Pd"": 36}","{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""C"": 2, ""H"": 4}"
pbe,C2H4_Pd110,Pd110,C2H4,dft_jobs,-143.88069052,-110.83417945,-31.970644,-1.0758670700000081,ok,,complex: converged; slab: converged; molecule: converged,true,dft_jobs/C2H4_Pd110/PBE/OUTCAR,vasp_slab/Pd110/PBE/OUTCAR,vasp_mol/C2H4/PBE/OUTCAR,-1.0758670700000081,"{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001"", ""Pd"": ""PAW_PBE Pd 04Jan2005""}","{""C"": 2, ""H"": 4, ""Pd"": 24}","{""Pd"": ""PAW_PBE Pd_pv 28Jan2005""}","{""Pd"": 24}","{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""C"": 2, ""H"": 4}"
pbe,C2H4_Pd111,Pd111,C2H4,dft_jobs,-210.78454392,-315.98876394,-31.970644,,slab_mismatch,"slab size mismatch: complex has 36 Pd, reference has 64",complex: converged; slab: converged; molecule: converged,false,dft_jobs/C2H4_Pd111/PBE/OUTCAR,vasp_slab/Pd111/PBE/OUTCAR,vasp_mol/C2H4/PBE/OUTCAR,137.17486402,"{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001"", ""Pd"": ""PAW_PBE Pd 04Jan2005""}","{""C"": 2, ""H"": 4, ""Pd"": 36}","{""Pd"": ""PAW_PBE Pd_pv 28Jan2005""}","{""Pd"": 64}","{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""C"": 2, ""H"": 4}"
pbe,C2H4_Pt100,Pt100,C2H4,dft_jobs,-236.56705004,-203.0271286,-31.970644,-1.5692774400000005,ok,,complex: converged; slab: converged; molecule: converged,true,dft_jobs/C2H4_Pt100/PBE/OUTCAR,vasp_slab/Pt100/PBE/OUTCAR,vasp_mol/C2H4/PBE/OUTCAR,-1.5692774400000005,"{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001"", ""Pt"": ""PAW_PBE Pt 04Feb2005""}","{""C"": 2, ""H"": 4, ""Pt"": 36}","{""Pt"": ""PAW_PBE Pt_pv 12Dec2005""}","{""Pt"": 36}","{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""C"": 2, ""H"": 4}"
pbe,C2H4_Pt110,Pt110,C2H4,dft_jobs,-161.89584929,-128.30096322,-31.970644,-1.624242070000001,ok,,complex: converged; slab: converged; molecule: converged,true,dft_jobs/C2H4_Pt110/PBE/OUTCAR,vasp_slab/Pt110/PBE/OUTCAR,vasp_mol/C2H4/PBE/OUTCAR,-1.624242070000001,"{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001"", ""Pt"": ""PAW_PBE Pt 04Feb2005""}","{""C"": 2, ""H"": 4, ""Pt"": 24}","{""Pt"": ""PAW_PBE Pt_pv 12Dec2005""}","{""Pt"": 24}","{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""C"": 2, ""H"": 4}"
pbe,C2H4_Pt111_bri,Pt111,C2H4,dft_jobs,,-370.79075302,-31.970644,,error,Missing or non-finite component energy,complex: missing; slab: converged; molecule: converged,false,dft_jobs/C2H4_Pt111_bri/PBE/OUTCAR,vasp_slab/Pt111/PBE/OUTCAR,vasp_mol/C2H4/PBE/OUTCAR,,{},{},"{""Pt"": ""PAW_PBE Pt_pv 12Dec2005""}","{""Pt"": 64}","{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""C"": 2, ""H"": 4}"
pbe,C2H4_Rh100,Rh100,C2H4,dft_jobs,-275.74829231,-242.27634007,-31.970644,-1.5013082400000073,ok,,complex: converged; slab: converged; molecule: converged,true,dft_jobs/C2H4_Rh100/PBE/OUTCAR,vasp_slab/Rh100/PBE/OUTCAR,vasp_mol/C2H4/PBE/OUTCAR,-1.5013082400000073,"{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001"", ""Rh"": ""PAW_PBE Rh 04Feb2005""}","{""C"": 2, ""H"": 4, ""Rh"": 36}","{""Rh"": ""PAW_PBE Rh_pv 25Jan2005""}","{""Rh"": 36}","{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""C"": 2, ""H"": 4}"
pbe,C2H4_Rh110,Rh110,C2H4,dft_jobs,-186.49862591,-153.0579593,-31.970644,-1.4700226099999938,ok,,complex: converged; slab: converged; molecule: converged,true,dft_jobs/C2H4_Rh110/PBE/OUTCAR,vasp_slab/Rh110/PBE/OUTCAR,vasp_mol/C2H4/PBE/OUTCAR,-1.4700226099999938,"{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001"", ""Rh"": ""PAW_PBE Rh 04Feb2005""}","{""C"": 2, ""H"": 4, ""Rh"": 24}","{""Rh"": ""PAW_PBE Rh_pv 25Jan2005""}","{""Rh"": 24}","{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""C"": 2, ""H"": 4}"
