surface,molecule,functional,E_ads_ML,E_ads_relaxed,E_ads_SPE,relaxed_status,SPE_status,completion_job_directory,relaxed_energy_review,SPE_energy_review,dft_contact_available,required_CONTCAR
Ag100,formate,pbe_d3,-2.21,,,refs unverified,refs unverified,,False,False,False,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_formate/singlepoint/PBE/fully_relaxed/CONTCAR
Ag100,formate,r2scan,-2.21,,,refs unverified,refs unverified,,False,False,False,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_formate/singlepoint/PBE/fully_relaxed/CONTCAR
Ag100,formate,beef_vdw,-2.21,,,no matching Perlmutter calculation,no matching Perlmutter calculation; check Kestrel sources,,False,False,False,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_formate/singlepoint/PBE/fully_relaxed/CONTCAR
Ag100,formic_acid,pbe,-0.4,,,refs unverified,potential mismatch,,False,False,True,
Ag100,formic_acid,pbe_d3,-0.4,,,refs unverified,potential mismatch,,False,False,True,
Ag100,formic_acid,r2scan,-0.4,,,refs unverified,potential mismatch,,False,False,True,
Ag100,formic_acid,beef_vdw,-0.4,,,potential_mismatch,potential mismatch,,False,False,True,
Ag100,glycerol,pbe,-0.68,,-0.118,refs unverified,available,,False,False,True,
Ag100,glycerol,pbe_d3,-0.68,,-0.415,refs unverified,available,,False,False,True,
Ag100,glycerol,r2scan,-0.68,,-0.195,refs unverified,available,,False,False,True,
Ag100,glycerol,beef_vdw,-0.68,,,no matching Perlmutter calculation,refs unverified,,False,False,True,
Ag100,isopropanol,pbe,-0.49,,,refs unverified,refs unverified,,False,False,True,
Ag100,isopropanol,pbe_d3,-0.49,,,refs unverified,refs unverified,,False,False,True,
Ag100,isopropanol,r2scan,-0.49,,,refs unverified,refs unverified,,False,False,True,
Ag100,isopropanol,beef_vdw,-0.49,,,no matching Perlmutter calculation,no matching Perlmutter calculation; check Kestrel sources,,False,False,True,
Ag100,methane,pbe,-0.42,,,refs unverified,potential mismatch,,False,False,True,
