surface,molecule,functional,mode,E_ads_perlmutter,E_ads_kestrel,complex_total_difference_eV,perlmutter_directory,kestrel_directory,same_structure,geometry_evidence,selection_reason
Ag111,H2O,r2scan,SPE,0.01589815,0.01592468,-0.00002653,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2O_Ag111/singlepoint/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2O/singlepoint/r2scan,false,structure fingerprint missing or different,Perlmutter first
Ag111,H2O,beef_vdw,SPE,-0.20230538,-0.20230324,-0.00000214,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2O_Ag111/singlepoint/beef_vdw,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2O/singlepoint/beef_vdw,false,structure fingerprint missing or different,Perlmutter first
Ag111,H2S,pbe,SPE,-0.03638793,-0.03638863,7.0E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2S_Ag111/singlepoint/PBE,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2S/singlepoint/PBE,false,structure fingerprint missing or different,Perlmutter first
Ag111,H2S,pbe_d3,SPE,-0.16495791,-0.16495861,7.0E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2S_Ag111/singlepoint/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2S/singlepoint/PBE_D3,false,structure fingerprint missing or different,Perlmutter first
Ag111,H2S,r2scan,SPE,0.00414300,0.00414097,0.00000203,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2S_Ag111/singlepoint/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2S/singlepoint/r2scan,false,structure fingerprint missing or different,Perlmutter first
Ag111,H2S,beef_vdw,SPE,-0.25993242,-0.26005524,0.00012282,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2S_Ag111/singlepoint/beef_vdw,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2S/singlepoint/beef_vdw,false,structure fingerprint missing or different,Perlmutter first
Ag111,N2,pbe,SPE,0.02775773,0.02775874,-0.00000101,/pscratch/sd/j/jcho5/VASP/dft_jobs/N2_Ag111/singlepoint/PBE,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_N2/singlepoint/PBE,false,structure fingerprint missing or different,Perlmutter first
Ag111,N2,pbe_d3,SPE,0.12747936,0.12748036,-0.00000100,/pscratch/sd/j/jcho5/VASP/dft_jobs/N2_Ag111/singlepoint/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_N2/singlepoint/PBE_D3,false,structure fingerprint missing or different,Perlmutter first
Ag111,N2,r2scan,SPE,0.15824010,0.15823966,4.4E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/N2_Ag111/singlepoint/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_N2/singlepoint/r2scan,false,structure fingerprint missing or different,Perlmutter first
Ag111,N2,beef_vdw,SPE,-0.11132013,-0.11132085,7.2E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/N2_Ag111/singlepoint/beef_vdw,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_N2/singlepoint/beef_vdw,false,structure fingerprint missing or different,Perlmutter first
