surface,molecule,functional,E_ads_DFT_SP,E_ads_ML_SP,delta_SP,ML_minus_SPE_minus_relaxed_DFT,E_ads_ML_relaxed_displayed,E_ads_DFT_relaxed_displayed,provenance,complex_directory
Ag110,H2,pbe_d3,-0.41966007,-0.27,0.14966007,0.57966007,-0.27,-0.43,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag110_H2/singlepoint/PBE_D3
Ag110,H2,r2scan,-0.65676206,-0.27,0.38676206,1.07676206,-0.27,-0.69,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag110_H2/singlepoint/r2scan
Ag110,H2O,pbe,-0.64391967,-0.58,0.06391967,0.71291967,-0.58,-0.649,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag110_H2O/singlepoint/PBE
Ag110,H2O,pbe_d3,-0.81882597,-0.58,0.23882597,1.07082597,-0.58,-0.832,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag110_H2O/singlepoint/PBE_D3
Ag110,H2O,r2scan,-1.02071792,-0.58,0.44071792,1.51071792,-0.58,-1.070,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag110_H2O/singlepoint/r2scan
Ag110,H2S,pbe,-0.60920691,-0.50,0.10920691,0.73820691,-0.50,-0.629,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag110_H2S/singlepoint/PBE
Ag110,H2S,pbe_d3,-0.92582197,-0.50,0.42582197,1.38882197,-0.50,-0.963,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag110_H2S/singlepoint/PBE_D3
Ag110,H2S,r2scan,-0.99182063,-0.50,0.49182063,1.54382063,-0.50,-1.052,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag110_H2S/singlepoint/r2scan
Ag110,N2,pbe,-0.39545281,-0.05,0.34545281,0.74145281,-0.05,-0.396,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag110_N2/singlepoint/PBE
Ag110,N2,pbe_d3,-0.44962845,-0.05,0.39962845,0.85462845,-0.05,-0.455,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag110_N2/singlepoint/PBE_D3
Ag110,N2,r2scan,-0.67151951,-0.05,0.62151951,1.32551951,-0.05,-0.704,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag110_N2/singlepoint/r2scan
